m,r,d,seed,n_recover,n_lib,dt,tot_iters
50,2,2,7,391,1326,369.17012882232666,21900
50,2,2,8,307,1326,387.18839406967163,25225
50,2,2,9,354,1326,314.30394530296326,17975
6,2,3,0,58,84,1.7555031776428223,2550
6,2,3,1,63,84,1.7021198272705078,2100
6,2,3,2,72,84,1.6325538158416748,1950
6,2,3,3,63,84,1.2025349140167236,2000
6,2,3,4,70,84,1.448981761932373,2625
6,2,3,5,63,84,2.9239845275878906,4975
6,2,3,6,72,84,1.1375136375427246,1325
6,2,3,7,61,84,1.7318952083587646,3075
6,2,3,8,74,84,1.48797607421875,2225
6,2,3,9,58,84,1.6922721862792969,2450
7,2,3,0,88,120,2.7760682106018066,2825
7,2,3,1,74,120,3.11684513092041,4000
7,2,3,2,88,120,2.384277582168579,2600
7,2,3,3,92,120,2.1671483516693115,1700
7,2,3,4,83,120,1.963512897491455,1425
7,2,3,5,80,120,3.3044795989990234,3200
7,2,3,6,83,120,3.1974997520446777,3275
7,2,3,7,90,120,2.625790596008301,2650
7,2,3,8,73,120,2.5286595821380615,2025
7,2,3,9,74,120,3.8471429347991943,3675
8,2,3,0,61,165,8.233854532241821,5925
8,2,3,1,118,165,6.715214014053345,4150
8,2,3,2,102,165,6.431269407272339,4375
8,2,3,3,115,165,3.7317326068878174,2275
8,2,3,4,95,165,7.77542781829834,5350
8,2,3,5,107,165,6.076070308685303,3400
8,2,3,6,109,165,5.0206458568573,3300
8,2,3,7,113,165,3.481565475463867,2025
8,2,3,8,106,165,4.918200254440308,3350
8,2,3,9,109,165,8.955577373504639,6775
9,2,3,0,115,220,7.531461000442505,3325
9,2,3,1,175,220,7.4159321784973145,2550
9,2,3,2,113,220,12.439850330352783,6100
9,2,3,3,114,220,6.884272336959839,2675
9,2,3,4,118,220,3.484713554382324,1225
9,2,3,5,142,220,5.600747108459473,1650
9,2,3,6,116,220,10.693563461303711,4300
9,2,3,7,111,220,11.907953023910522,5425
9,2,3,8,136,220,13.12406301498413,5650
9,2,3,9,139,220,10.649649858474731,4550
10,2,3,0,128,286,14.990016460418701,4750
10,2,3,1,149,286,20.356273412704468,5875
10,2,3,2,157,286,17.818517208099365,5650
10,2,3,3,99,286,17.34692072868347,6025
10,2,3,4,145,286,9.246567249298096,2225
10,2,3,5,127,286,9.374328851699829,2375
10,2,3,6,141,286,9.734415531158447,2775
10,2,3,7,122,286,18.505534410476685,5700
10,2,3,8,166,286,15.012710332870483,4675
10,2,3,9,136,286,14.454881191253662,4650
11,2,3,0,168,364,43.00968933105469,10650
11,2,3,1,141,364,34.00455164909363,8175
11,2,3,2,153,364,19.826913595199585,4625
11,2,3,3,186,364,37.264294147491455,8125
11,2,3,4,179,364,20.84717845916748,4275
11,2,3,5,154,364,34.508920192718506,7375
11,2,3,6,134,364,44.41190218925476,10300
11,2,3,7,157,364,13.50693964958191,2825
11,2,3,8,149,364,19.5455904006958,4225
11,2,3,9,172,364,30.5311062335968,6950
12,2,3,0,173,455,62.645150661468506,9525
12,2,3,1,212,455,63.258004903793335,9600
12,2,3,2,210,455,29.905174732208252,3875
12,2,3,3,221,455,51.797924518585205,7225
12,2,3,4,218,455,56.58962368965149,8075
12,2,3,5,226,455,42.890841007232666,5875
12,2,3,6,163,455,60.98301601409912,12000
12,2,3,7,212,455,40.780489444732666,7050
12,2,3,8,204,455,65.33581161499023,11650
12,2,3,9,223,455,54.67418575286865,8075
13,2,3,0,202,560,69.94326639175415,9050
13,2,3,1,227,560,90.17374086380005,9525
13,2,3,2,263,560,100.49791216850281,11175
13,2,3,3,148,560,76.85431241989136,9000
13,2,3,4,271,560,42.545037269592285,3550
13,2,3,5,240,560,63.13942575454712,8075
13,2,3,6,265,560,59.74602127075195,7575
13,2,3,7,206,560,91.77557945251465,12800
13,2,3,8,233,560,70.5176112651825,9125
13,2,3,9,219,560,94.73978662490845,11000
14,2,3,0,241,680,59.45423984527588,5300
14,2,3,1,193,680,71.43806552886963,7000
14,2,3,2,327,680,99.80565857887268,8325
14,2,3,3,271,680,133.64889574050903,13750
14,2,3,4,251,680,58.94726586341858,5475
14,2,3,5,228,680,107.89566659927368,11400
14,2,3,6,258,680,113.3644003868103,10000
14,2,3,7,257,680,113.40399742126465,9900
14,2,3,8,267,680,89.77817416191101,7375
14,2,3,9,255,680,123.76891374588013,13050
15,2,3,0,269,816,78.52510643005371,4800
15,2,3,1,245,816,178.73850393295288,14200
15,2,3,2,278,816,71.39115691184998,3900
15,2,3,3,300,816,205.11017084121704,13275
15,2,3,4,353,816,98.57782077789307,6925
15,2,3,5,279,816,160.21853160858154,10475
15,2,3,6,348,816,62.55773425102234,3825
15,2,3,7,333,816,169.68633437156677,10575
15,2,3,8,267,816,116.61534094810486,8825
15,2,3,9,291,816,123.95347857475281,9200
16,2,3,0,259,969,253.8730330467224,13050
16,2,3,1,295,969,260.80404329299927,12950
16,2,3,2,221,969,270.5147466659546,13750
16,2,3,3,286,969,288.1690981388092,12300
16,2,3,4,339,969,85.52809929847717,2625
16,2,3,5,264,969,245.99715733528137,10450
16,2,3,6,331,969,163.60397624969482,5950
16,2,3,7,328,969,160.13321805000305,5875
16,2,3,8,367,969,231.19860363006592,9500
16,2,3,9,333,969,226.51835250854492,14025
5,2,4,0,114,126,2.850318193435669,950
5,2,4,1,98,126,4.134317398071289,2150
5,2,4,2,94,126,4.855815172195435,2800
5,2,4,3,102,126,4.678277969360352,2075
5,2,4,4,94,126,3.2790443897247314,1325
5,2,4,5,117,126,3.611154079437256,1150
5,2,4,6,104,126,2.914851665496826,1250
5,2,4,7,102,126,2.9108309745788574,1125
5,2,4,8,104,126,2.893216609954834,1125
5,2,4,9,95,126,3.760896682739258,1575
6,2,4,0,165,210,6.070844411849976,1000
6,2,4,1,147,210,8.348307132720947,1750
6,2,4,2,170,210,8.570286750793457,1700
6,2,4,3,138,210,10.219653844833374,2225
6,2,4,4,148,210,7.962599277496338,1450
6,2,4,5,161,210,6.836709499359131,1000
6,2,4,6,176,210,9.974622011184692,2000
6,2,4,7,140,210,7.8030686378479,1700
6,2,4,8,147,210,6.7714478969573975,1225
6,2,4,9,144,210,7.020040988922119,1350
7,2,4,0,164,330,28.000282049179077,3025
7,2,4,1,230,330,19.211716651916504,1650
7,2,4,2,179,330,26.01998782157898,2750
7,2,4,3,258,330,28.441625356674194,2475
7,2,4,4,243,330,15.736080169677734,1200
7,2,4,5,223,330,16.97473382949829,1325
7,2,4,6,236,330,21.16367769241333,1525
7,2,4,7,236,330,21.029873847961426,1600
7,2,4,8,218,330,17.71026921272278,1475
7,2,4,9,217,330,33.983070611953735,3450
8,2,4,0,242,495,31.87174081802368,1825
8,2,4,1,336,495,41.85035181045532,1850
8,2,4,2,327,495,40.37714123725891,1775
8,2,4,3,293,495,55.78631854057312,2925
8,2,4,4,324,495,41.74503421783447,1825
8,2,4,5,256,495,47.5087468624115,2600
8,2,4,6,273,495,34.83086037635803,1275
8,2,4,7,339,495,63.44165635108948,3325
8,2,4,8,287,495,48.08855152130127,3075
8,2,4,9,259,495,36.79441523551941,1600
9,2,4,0,349,715,112.8420205116272,5475
9,2,4,1,431,715,83.8966429233551,3375
9,2,4,2,474,715,56.95085024833679,1725
9,2,4,3,349,715,148.63338947296143,6775
9,2,4,4,408,715,70.07693982124329,1975
9,2,4,5,403,715,31.900553703308105,850
9,2,4,6,410,715,49.71689558029175,1600
9,2,4,7,412,715,76.91352915763855,2150
9,2,4,8,484,715,38.37279272079468,1125
9,2,4,9,385,715,82.57776665687561,2650
10,2,4,0,463,1001,127.8950765132904,3025
10,2,4,1,569,1001,140.2490839958191,3275
10,2,4,2,503,1001,92.16970920562744,1375
10,2,4,3,383,1001,153.19294381141663,4550
10,2,4,4,404,1001,127.08497667312622,2275
10,2,4,5,464,1001,137.0523021221161,3525
10,2,4,6,613,1001,122.38163328170776,1800
