m,r,d,seed,n_recover,n_lib,dt,tot_iters
5,2,4,5,106,126,8.382239580154419,1400
5,2,4,6,100,126,17.424676656723022,3550
5,2,4,7,102,126,12.08267331123352,2300
5,2,4,8,101,126,9.368769407272339,1600
5,2,4,9,95,126,15.295679092407227,3225
6,2,4,0,164,210,50.17220592498779,3150
6,2,4,1,147,210,46.31030511856079,2900
6,2,4,2,180,210,48.81032943725586,2975
6,2,4,3,169,210,50.212538719177246,3075
6,2,4,4,186,210,40.70179605484009,2325
6,2,4,5,169,210,37.05974364280701,2000
6,2,4,6,171,210,40.472941875457764,2100
6,2,4,7,171,210,44.14345359802246,2475
6,2,4,8,156,210,41.93938660621643,2450
6,2,4,9,165,210,25.589186906814575,1250
7,2,4,0,178,330,158.60462713241577,3650
7,2,4,1,248,330,307.70775532722473,7825
7,2,4,2,206,330,170.5539848804474,3575
7,2,4,3,273,330,135.6903703212738,2525
7,2,4,4,233,330,103.61699914932251,1825
7,2,4,5,248,330,132.56221652030945,2475
7,2,4,6,250,330,102.98266673088074,1850
7,2,4,7,256,330,108.00930571556091,1900
7,2,4,8,234,330,100.08467221260071,1650
7,2,4,9,240,330,140.48285460472107,2625
8,2,4,0,334,495,599.599142074585,5500
8,2,4,1,351,495,402.9626929759979,2900
8,2,4,2,305,495,585.6765563488007,5375
8,2,4,3,325,495,649.0160026550293,6100
8,2,4,4,336,495,556.4333620071411,4725
8,2,4,5,292,495,250.81636428833008,1125
8,2,4,6,260,495,698.5144052505493,6750
8,2,4,7,316,495,753.1469962596893,7375
8,2,4,8,286,495,549.4542331695557,4600
8,2,4,9,316,495,638.993302822113,6025
9,2,4,0,445,715,1566.8199899196625,5700
9,2,4,1,422,715,1369.826405286789,4675
9,2,4,2,411,715,2194.576211452484,9250
9,2,4,3,379,715,2826.719839334488,12000
9,2,4,4,443,715,2430.442385673523,10025
9,2,4,5,428,715,811.9962816238403,1675
9,2,4,6,450,715,1070.9901480674744,3100
9,2,4,7,498,715,1633.8877274990082,5975
9,2,4,8,425,715,691.1995327472687,1400
9,2,4,9,393,715,1771.5544493198395,7075
10,2,4,0,488,1001,5851.1930277347565,10675
10,2,4,1,582,1001,5398.155246496201,9375
10,2,4,2,529,1001,3630.482393503189,5450
10,2,4,3,454,1001,6928.205944776535,13275
10,2,4,4,500,1001,6433.092712640762,11950
10,2,4,5,539,1001,6918.027645111084,13325
10,2,4,6,641,1001,3349.9769139289856,4675
10,2,4,7,539,1001,4251.0855884552,6825
10,2,4,8,518,1001,6014.177658557892,11175
10,2,4,9,552,1001,2209.4996564388275,2250
5,3,2,0,21,21,1.859811544418335,4925
5,3,2,1,21,21,1.2909982204437256,3375
5,3,2,2,21,21,1.2827866077423096,3225
5,3,2,3,21,21,1.6814520359039307,4425
5,3,2,4,20,21,2.3827872276306152,6450
5,3,2,5,21,21,1.3177192211151123,3400
5,3,2,6,21,21,1.5040569305419922,3850
5,3,2,7,21,21,1.2046668529510498,3100
5,3,2,8,21,21,2.9699132442474365,8225
5,3,2,9,20,21,1.1952052116394043,3125
10,3,2,0,61,66,92.09678411483765,15000
10,3,2,1,62,66,85.77547693252563,14000
10,3,2,2,58,66,84.42655038833618,13175
10,3,2,3,59,66,93.80293250083923,15000
10,3,2,4,61,66,91.81143116950989,14975
10,3,2,5,59,66,63.162593364715576,9975
10,3,2,6,52,66,69.05249261856079,11150
10,3,2,7,55,66,81.79853129386902,13025
10,3,2,8,59,66,58.44889259338379,9225
10,3,2,9,55,66,65.64941954612732,10525
15,3,2,0,106,136,498.2479884624481,13100
15,3,2,1,120,136,637.1150848865509,17850
15,3,2,2,109,136,461.1740825176239,12675
15,3,2,3,94,136,658.4369869232178,17500
15,3,2,4,103,136,730.0539071559906,20000
15,3,2,5,100,136,609.3332052230835,16350
15,3,2,6,99,136,628.3690574169159,17500
15,3,2,7,114,136,491.6331539154053,13400
15,3,2,8,99,136,644.6170718669891,17000
15,3,2,9,101,136,621.7386109828949,16350
20,3,2,0,160,231,2415.7705986499786,14600
20,3,2,1,129,231,2600.49703168869,16025
20,3,2,2,146,231,2008.2171003818512,12125
20,3,2,3,149,231,3145.2423622608185,18275
20,3,2,4,141,231,2944.5922396183014,17975
20,3,2,5,146,231,2733.5696806907654,15250
20,3,2,6,140,231,2842.1800067424774,17800
20,3,2,7,149,231,2744.0233149528503,16375
20,3,2,8,155,231,2828.566481590271,16900
20,3,2,9,147,231,2636.279495716095,15375
25,3,2,0,213,351,7872.336366891861,20400
25,3,2,1,189,351,5197.209788799286,13650
25,3,2,2,204,351,4867.097973823547,13250
25,3,2,3,194,351,7330.22129201889,18900
25,3,2,4,216,351,8177.691520690918,20675
25,3,2,5,179,351,6453.5519325733185,15850
25,3,2,6,229,351,5697.22435259819,15700
25,3,2,7,195,351,7374.620792388916,18100
25,3,2,8,221,351,5773.693161725998,15600
25,3,2,9,212,351,6234.683128356934,16125
30,3,2,0,283,496,28374.96219611168,20000
30,3,2,1,238,496,26763.511829137802,20875
30,3,2,2,287,496,21398.678638458252,16525
30,3,2,3,243,496,30980.539989471436,22500
30,3,2,4,223,496,29521.901514530182,22500
30,3,2,5,206,496,27939.531277894974,20825
30,3,2,6,236,496,27918.77152657509,22500
30,3,2,7,236,496,28374.185585021973,22500
30,3,2,8,263,496,20432.185073375702,16725
30,3,2,9,258,496,22911.9845559597,17375
6,3,3,0,78,84,8.936194658279419,1750
6,3,3,1,73,84,12.010137796401978,2650
6,3,3,2,81,84,18.038333892822266,4550
6,3,3,3,76,84,9.28860592842102,2000
6,3,3,4,78,84,17.49292230606079,4150
6,3,3,5,78,84,12.144943952560425,2625
6,3,3,6,81,84,17.89051628112793,4200
6,3,3,7,79,84,18.64324712753296,4575
6,3,3,8,62,84,16.73850178718567,4300
6,3,3,9,78,84,20.20346736907959,5425
7,3,3,0,103,120,18.462252855300903,1700
7,3,3,1,112,120,29.776434659957886,3150
7,3,3,2,103,120,51.213698625564575,6050
7,3,3,3,101,120,22.147791385650635,2225
7,3,3,4,105,120,18.1399507522583,1725
7,3,3,5,107,120,14.687678337097168,1300
7,3,3,6,109,120,23.545587301254272,2300
7,3,3,7,103,120,18.872888565063477,1700
7,3,3,8,104,120,54.65042591094971,6575
7,3,3,9,106,120,39.29872012138367,4575
8,3,3,0,149,165,47.362937688827515,2375
8,3,3,1,137,165,45.67145037651062,2300
8,3,3,2,124,165,136.95391035079956,7725
8,3,3,3,149,165,90.37733173370361,5175
8,3,3,4,137,165,44.4240345954895,2175
8,3,3,5,145,165,64.32001447677612,3325
8,3,3,6,130,165,46.1869843006134,2200
8,3,3,7,143,165,94.72431254386902,5450
8,3,3,8,125,165,111.03418278694153,6775
8,3,3,9,134,165,66.30448627471924,3625
9,3,3,0,171,220,76.90147018432617,1700
9,3,3,1,149,220,172.96029710769653,5075
9,3,3,2,183,220,142.8300371170044,4025
9,3,3,3,158,220,190.84666776657104,5575
9,3,3,4,175,220,86.76017451286316,1925
9,3,3,5,183,220,251.95422315597534,7750
9,3,3,6,171,220,134.46263360977173,3750
9,3,3,7,161,220,129.94916367530823,3500
9,3,3,8,176,220,160.4701385498047,4625
9,3,3,9,187,220,143.3514223098755,4000
10,3,3,0,199,286,177.13790440559387,2150
10,3,3,1,214,286,367.0575420856476,5225
10,3,3,2,212,286,377.0451080799103,6025
10,3,3,3,207,286,335.9685049057007,5075
10,3,3,4,198,286,343.0536963939667,5225
10,3,3,5,181,286,282.21130561828613,4225
10,3,3,6,188,286,231.5489637851715,3050
10,3,3,7,219,286,192.3910641670227,2425
10,3,3,8,226,286,255.84699749946594,3550
10,3,3,9,210,286,170.30215430259705,2075
11,3,3,0,270,364,386.10348653793335,2700
11,3,3,1,266,364,516.7697598934174,4250
11,3,3,2,252,364,610.4624538421631,5075
11,3,3,3,260,364,1008.4585077762604,9275
11,3,3,4,229,364,386.68484258651733,2700
11,3,3,5,245,364,623.8221118450165,5050
11,3,3,6,232,364,1146.010627746582,10950
11,3,3,7,252,364,753.1744527816772,6800
11,3,3,8,233,364,340.7280924320221,2025
11,3,3,9,258,364,786.517077922821,6800
12,3,3,0,310,455,1370.336223602295,7125
12,3,3,1,291,455,1096.7427875995636,5150
12,3,3,2,316,455,1429.1761662960052,6600
12,3,3,3,272,455,2499.0751180648804,14325
12,3,3,4,270,455,1024.797324180603,4775
12,3,3,5,291,455,1892.016063451767,10300
12,3,3,6,281,455,2273.435389280319,12775
12,3,3,7,288,455,1539.5526254177094,8200
12,3,3,8,292,455,2139.600482940674,12225
12,3,3,9,301,455,704.9451904296875,2825
13,3,3,0,333,560,3600.30929851532,15050
13,3,3,1,323,560,2857.8636038303375,8950
13,3,3,2,365,560,2911.253744125366,12075
13,3,3,3,304,560,1840.03538107872,4650
13,3,3,4,337,560,2610.8123347759247,7800
13,3,3,5,373,560,2219.6521277427673,5750
